Sentence,Technique,Risk Score,Risk Level,Explanation,Neutral Rewrite
"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over."
"""That's a dangerous combination,"" Tedros said.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"""That's a serious combination,"" Tedros said."
"The UK should never become a stage for inflammatory speakers who promote hate.""",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"The UK should never become a stage for inflammatory speakers who promote hate."""
"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver."
"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents."""
"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court."
"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry."
ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.
Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.
"Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts."
