article_id,sentence_id,sentence_text,start_char,end_char,label,technique,risk_score
article111111111,0,"Next plague outbreak in Madagascar could be 'stronger': WHO

Geneva - The World Health Organisation chief on Wednesday said a deadly plague epidemic appeared to have been brought under control in Madagascar, but warned the next outbreak would likely be stronger.",0,262,0,None,0
article111111111,1,"""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that ""the issue is serious.""",264,438,0,None,0
article111111111,2,"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August.",440,651,0,None,0
article111111111,3,"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires.",653,774,0,None,0
article111111111,4,"The disease tends to make a comeback each hot rainy season, from September to April.",776,860,0,None,0
article111111111,5,"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate.",861,1005,0,None,0
article111111111,6,"But Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year.""",1007,1107,0,None,0
article111111111,7,"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns.",1109,1229,0,None,0
article111111111,8,"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207.",1230,1332,0,None,0
article111111111,9,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak.",1334,1463,0,None,0
article111111111,10,"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.",1465,1617,1,"Loaded Language, Fear Appeal",70
article111111111,11,The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely.,1619,1716,0,None,0
article111111111,12,"This along with poor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.",1718,1950,0,None,0
article111111111,13,"""That means that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.",1952,2099,0,None,0
article111111111,14,Complicating vector control is the fact that the fleas that carry the Yersinia pestis bacteria that causes the plague have proven to be widely resistant to chemicals and insecticides.,2101,2284,0,None,0
article111111111,15,"""That's a dangerous combination,"" Tedros said.",2286,2332,1,"Loaded Language, Fear Appeal",70
article111111112,0,"US bloggers banned from entering UK

Two prominent US bloggers have been banned from entering the UK, the Home Office has said.",0,127,0,None,0
article111111112,1,Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.,129,220,0,None,0
article111111112,2,"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.",222,328,0,None,0
article111111112,3,"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.",330,463,0,None,0
article111111112,4,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""",465,603,0,None,0
article111111112,5,"'Right decision'
Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.",605,838,0,None,0
article111111112,6,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".",839,1014,0,None,0
article111111112,7,"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.",1016,1205,0,None,0
article111111112,8,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.",1207,1427,0,None,0
article111111112,9,This is the right decision.,1428,1455,0,None,0
article111111112,10,"The UK should never become a stage for inflammatory speakers who promote hate.""",1456,1535,1,Exaggeration,40
article111111112,11,"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.",1537,1708,0,None,0
article111111112,12,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.",1710,1798,0,None,0
article111111112,13,"""How many hate preachers are living in this country?",1800,1852,0,None,0
article111111112,14,"It just shows what sort of a two-tier system we have here.""",1853,1912,0,None,0
article111111112,15,"'Foster hatred'
Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.",1914,2027,0,None,0
article111111112,16,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.",2029,2124,0,None,0
article111111112,17,"""These two are among some of the most extreme anti-Muslim activists in the world.",2126,2207,0,None,0
article111111112,18,They've nothing to contribute to life in this country.,2208,2262,0,None,0
article111111112,19,"""They're not here to contribute to good community relations.",2264,2324,0,None,0
article111111112,20,They only wanted to come here and help the EDL stir up more trouble.,2325,2393,0,None,0
article111111112,21,"Britain doesn't need more hate even just for a few days.""",2394,2451,0,None,0
article111111112,22,"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.",2453,2645,0,None,0
article111111112,23,"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.",2647,2868,0,None,0
article111111112,24,"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".",2870,3068,0,None,0
article111111113,0,"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing

The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.",0,468,0,None,0
article111111113,1,"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.",470,667,0,None,0
article111111113,2,"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.",668,817,0,None,0
article111111113,3,"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.",819,934,0,None,0
article111111113,4,The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.,935,1127,0,None,0
article111111113,5,Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.,1129,1316,0,None,0
article111111113,6,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters.",1317,1511,0,None,0
article111111113,7,"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.",1512,1748,1,"Exaggeration, Appeal to Authority",50
article111111113,8,"Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.",1750,1929,0,None,0
article111111113,9,They said Garcia Zarate then threw the weapon into the bay and fled the scene.,1930,2008,0,None,0
article111111113,10,"Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.",2010,2285,0,None,0
article111111113,11,"At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.",2286,2423,0,None,0
article111111113,12,"He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.",2425,2805,0,None,0
article111111113,13,"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.",2807,2962,0,None,0
article111111113,14,"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.",2963,3163,0,None,0
article111111113,15,"As a result of the case, both the DOJ and the city of San Francisco have changed several policies.",3165,3263,0,None,0
article111111113,16,The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.,3264,3408,0,None,0
article111111113,17,"San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.",3409,3577,0,None,0
article111111113,18,"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.",3579,3800,0,None,0
article111111113,19,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",3801,3985,1,"Loaded Language, Fear Appeal",70
article111111113,20,But ICE has faced criticism of its own over not seeking a judicial warrant to legally obtain custody of Garcia Zarate when it discovered he had been transferred into San Francisco's custody.,3987,4177,0,None,0
article111111113,21,The agency has argued that obtaining judicial warrants are unnecessary and would place too much burden on ICE officials and federal courts.,4178,4317,0,None,0
article111111113,22,"Though the agency did issue a request to the city to detain Garcia Zarate until ICE officials could pick him up, their detainer requests are not signed by a judge and are therefore not legally binding.",4319,4520,0,None,0
article111111113,23,"San Francisco's policy is to ignore such requests if they are not accompanied by judge-signed warrants, and the city has cited federal court cases concluding that such detentions violate inmates' Fourth Amendment rights.",4521,4741,0,None,0
article111111113,24,"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.",4743,5007,0,None,0
article111111113,25,"President Donald Trump immediately seized on the verdict on Thursday as evidence of the perils of ""Illegal Immigration.""",5008,5128,0,None,0
article111111113,26,"Trump frequently villainized Garcia Zarate and cited Steinle's death during his presidential campaign, using the case to bolster his argument for a border wall and aid his crusade against ""sanctuary cities.""",5129,5336,0,None,0
article111111113,27,"Early on Friday, Trump also falsely claimed on Twitter that Garcia Zarate had previously committed violent crimes and had illegally entered the US six times due to lax border security under the Obama administration.",5338,5553,0,None,0
article111111113,28,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.",5555,5723,1,Exaggeration,40
article111111113,29,His exoneration is a complete travesty of justice.,5724,5774,0,None,0
article111111113,30,"BUILD THE WALL!""",5775,5791,0,None,0
article111111113,31,Trump tweeted.,5792,5806,0,None,0
article111111113,32,"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.",5808,5978,1,Exaggeration,40
article111111113,33,"Lax border security, too, does not appear to be a factor since Garcia Zarate was caught by border patrol agents each time he entered the country under the Obama administration.",5979,6155,0,None,0
article111111113,34,"In contrast, Steinle's family has expressed nuanced views on immigration and ""sanctuary"" policies.",6157,6255,0,None,0
article111111113,35,"They have both condemned Trump for ""sensationalizing"" Steinle's death to advance anti-immigration policies, and expressed frustration with San Francisco officials, who they believe went too far in refusing to cooperate with federal immigration authorities.",6256,6512,0,None,0
article111111114,0,"U.S. judge frees Indonesian immigrant held by Trump order

A U.S. judge on Wednesday ordered the release of an illegal immigrant who is among 47 Indonesians in New Hampshire challenging the Trump administration’s order to deport them.",0,234,0,None,0
article111111114,1,"SPONSORED

Rombot, part of a wave of Indonesian Christians who fled their country following deadly riots in 1998, learned of the policy change when he appeared for an Aug. 1 check-in with ICE and was arrested.",236,445,0,None,0
article111111114,2,"“He walks out of the courthouse right now,” Chief U.S. District Judge Patti Saris said after concluding that Rombot’s detention violated his rights.",447,595,0,None,0
article111111114,3,"He walked out of the U.S. District Court in Boston in his blue jail scrubs, without a chance to change into street clothes.",597,720,0,None,0
article111111114,4,Rombot’s lawyers said he was arrested despite a 2015 letter from ICE saying he would have a chance to prepare for an “orderly” departure.,721,858,0,None,0
article111111114,5,The judge cited that letter during Wednesday’s hearing in holding that Rombot’s detention despite ICE’s previous guidance violated his due process rights under the U.S. Constitution.,860,1042,0,None,0
article111111114,6,"“This is what intent was, that he would be given the opportunity to leave under his own steam and not under shackles,” she said.",1044,1172,0,None,0
article111111114,7,"Outside the courtroom, Rombot said: “I just want to say thank you to my attorney, my pastor and all of my friends.”

The U.S. Attorney’s office is considering an appeal, a spokeswoman said.",1174,1363,0,None,0
article111111114,8,ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.,1365,1522,1,Exaggeration,40
article111111114,9,"The Indonesians are part of an ethnic community of about 2,000 people clustered around the city of Dover in New Hampshire’s seacoast region.",1524,1664,0,None,0
article111111114,10,Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.,1666,1825,1,Fear Appeal,55
article111111114,11,"Their cause has drawn the support of Republican Governor Chris Sununu and New Hampshire’s all-Democratic congressional delegation, including U.S.",1827,1972,0,None,0
article111111114,12,Senator Jeanne Shaheen.,1973,1996,0,None,0
article111111114,13,Saris previously ordered a stay to the deportations.,1998,2050,0,None,0
article111111114,14,She is currently weighing whether she can order a longer delay to give the affected people time to renew their efforts to gain legal status.,2051,2191,0,None,0
article111111115,0,"Here are all the sexual misconduct accusations against Sen. Al Franken

Sen. Al Franken announced his resignationon the Senate floor Thursday morning, as Democratic calls for his resignation mount following the latest sexual misconduct accusations against him.",0,260,0,None,0
article111111115,1,"About 30 Senate Democrats, starting with women, have urged the Minnesota Democrat to step down.",262,357,0,None,0
article111111115,2,"Franken on Thursday denied most of the allegations, which started to surface last month.",359,447,0,None,0
article111111115,3,"Here are the eight accusations he faces:

Leeann Tweeden, a radio news anchor, says Franken groped and forcibly kissed her during a USO tour in 2006, before the former comedian was a senator.",448,639,0,None,0
article111111115,4,"She says Franken ""aggressively stuck his tongue in my mouth"" when the pair rehearsed a skit that featured a kiss.",640,753,0,None,0
article111111115,5,A photo also surfaced showing Franken looking at a camera while pretending to grab Tweeden's breasts as she was sleeping while clothed.,754,889,0,None,0
article111111115,6,The senator apologized for the photo but said he remembered the skit incident differently.,890,980,0,None,0
article111111115,7,Lindsay Menz says Franken grabbed her buttocks when the pair posed for a photo at the Minnesota State Fair in 2010.,981,1096,0,None,0
article111111115,8,"Franken later said he did not remember taking the picture but ""felt badly"" that Menz felt disrespected.",1097,1200,0,None,0
article111111115,9,Two other unidentified women told HuffPost that Franken grabbed their buttocks at separate events in 2007 and 2008.,1201,1316,0,None,0
article111111115,10,One of the women says Franken suggested that he and she should go to the bathroom together.,1317,1408,0,None,0
article111111115,11,Franken said he did not remember the events and denied asking anyone to visit the bathroom with him.,1409,1509,0,None,0
article111111115,12,"Stephanie Kemplin, an Army veteran, says Franken put his hand on her breast during a USO tour in 2003.",1510,1612,0,None,0
article111111115,13,"In a statement following that accusation, Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.",1613,1746,0,None,0
article111111115,14,"A woman described as a ""former elected official in New England"" told the Jezebel website that Franken tried to give her a ""wet, open-mouthed kiss"" during an event in 2006.",1747,1918,0,None,0
article111111115,15,The senator has not appeared to respond specifically to the allegation.,1919,1990,0,None,0
article111111115,16,An unnamed former Democratic congressional aide told Politico that the senator tried to forcibly kiss her after he taped a radio show in 2006.,1991,2133,0,None,0
article111111115,17,"She says she avoided the kiss, then heard Franken say ""it's my right as an entertainer.""",2134,2222,0,None,0
article111111115,18,"Franken called the allegation ""categorically not true.""",2223,2278,0,None,0
article111111115,19,"Tina Dupuy writes in The Atlantic that Franken put his hand around her waist while the pair posed for a photo and squeezed ""at least twice"" during an event in 2009.",2279,2443,0,None,0
article111111115,20,The senator has not specifically responded to that allegation.,2444,2506,0,None,0
article111111117,0,"Trump formally nominates Gina Haspel to be next CIA director

WASHINGTON — President Donald Trump formally notified Congress on Tuesday that deputy CIA director Gina Haspel is his pick to lead the agency.",0,204,0,None,0
article111111117,1,"Trump tweeted last month that he had selected Haspel to replace Mike Pompeo, who is being considered to be secretary of state.",206,332,0,None,0
article111111117,2,But the president had not sent the formal paperwork to Capitol Hill.,333,401,0,None,0
article111111117,3,"Logistical issues, including an FBI background check that took longer than expected, was to blame, according to a U.S. official, who was not authorized to discuss the issue and spoke only on condition of anonymity.",403,617,0,None,0
article111111117,4,"Still, the delay prompted critics to speculate that the delay signaled the White House was having second thoughts about the nomination.",619,754,0,None,0
article111111117,5,Some lawmakers and human rights groups oppose Haspel’s nomination because of her role in the CIA’s detention and harsh interrogation of terror suspects after 9/11.,755,918,0,None,0
article111111117,6,"The Senate intelligence committee is expected to have a confirmation hearing for Haspel in coming weeks, followed by a vote in the full Senate.",920,1063,0,None,0
article111111121,0,Dallas Police Dept.,0,19,0,None,0
article111111121,1,"fires officer who killed Botham Jean in his apartment

The Dallas Police Department fired Officer Amber Guyger on Monday, two weeks after she was charged in the fatal shooting of her neighbor.",20,212,0,None,0
article111111121,2,This contradicted the police chief’s recent statements that she was unable to discipline the officer while a criminal investigation proceeded.,213,355,0,None,0
article111111121,3,"Guyger allegedly walked into the apartment of the neighbor, Botham Jean, and fatally shot him Sept 6.",357,458,0,None,0
article111111121,4,"When she was arrested three days later on manslaughter charges, Guyger said she confused Jean’s home for her own, confused Jean for an intruder, and shot him when he refused her commands, according to court documents.",460,677,0,None,0
article111111121,5,The victim’s family has disputed her account and said she had knocked on Jean’s door before killing him.,678,782,0,None,0
article111111121,6,"The incident — one of more than 700 police killings counted by The Washington Post this year — sparked criticism against the police department, which waited days to arrest Guyger, then went weeks without disciplining her even though she was placed on leave.",784,1041,0,None,0
article111111121,7,"“The delay raised questions about why investigators held off on arresting the officer and about whether law enforcement authorities were showing deferential treatment for one of their own,” Kristine Phillips and Deanna Paul wrote for The Post.",1042,1285,0,None,0
article111111121,8,"After repeated protests, Police Chief U. Reneé Hall gave contradictory explanations last week for why she could not fire the officer.",1287,1420,0,None,0
article111111121,9,"She told a town hall that “local, state and federal laws prohibit me from taking action,” according to ABC affiliate WFAA.",1421,1543,0,None,0
article111111121,10,"Two days later, the Dallas Morning News reported that police could fire Guyger but did not plan to review her employment until a criminal investigation wrapped up — probably months away.",1545,1731,0,None,0
article111111121,11,"In a statement, Hall said that any disciplinary investigation would risk compromising the criminal case.",1732,1836,0,None,0
article111111121,12,"“That is not a risk I am willing to take,” she said.",1837,1889,0,None,0
article111111121,13,"Police did not explain what changed by Monday, when the department announced that an internal-affairs investigation had been launched and already “concluded” that Guyger’s arrest was a fireable offense.",1891,2093,0,None,0
article111111121,14,"The officer, who was hired in late 2013, was terminated during a hearing Monday morning “for her actions.”

The statement notes that Guyger can appeal her firing.",2094,2256,0,None,0
article111111121,15,Police did not comment on whether Hall is still worried that the termination might affect the criminal investigation.,2257,2374,0,None,0
article111111121,16,"As Paul wrote for The Post, the more significant legal questions are whether Guyger is prosecuted as a police officer or civilian and whether a jury decides she acted reasonably in using deadly force.",2376,2576,0,None,0
