article_id,sentence_id,sentence_text,start_char,end_char,label,technique
article111111111,10,"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.",1465,1617,1,"Loaded Language, Fear Appeal"
article111111111,15,"""That's a dangerous combination,"" Tedros said.",2286,2332,1,"Loaded Language, Fear Appeal"
article111111112,10,"The UK should never become a stage for inflammatory speakers who promote hate.""",1456,1535,1,Exaggeration
article111111113,7,"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.",1512,1748,1,"Exaggeration, Appeal to Authority"
article111111113,19,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",3801,3985,1,"Loaded Language, Fear Appeal"
article111111113,28,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.",5555,5723,1,Exaggeration
article111111113,32,"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.",5808,5978,1,Exaggeration
article111111114,8,ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.,1365,1522,1,Exaggeration
article111111114,10,Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.,1666,1825,1,Fear Appeal
article111111122,25,"Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts.",3226,3367,1,"Fear Appeal, Exaggeration"
article111111122,33,"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward.",4366,4610,1,Fear Appeal
article111111123,7,"""I believe women who come forward must be heard, and to have their allegations fully investigated,"" Ellison said.",1412,1525,1,General Persuasion
article111111123,21,"“I've been smeared, threatened, isolated from my own party.",3174,3233,1,"Loaded Language, Fear Appeal"
article111111124,17,"""With respect to some of these materials, I have been previously informed by the FBI and Justice Department that they would consider their release a red line that must not be crossed as they may compromise sources and methods.",4393,4619,1,General Persuasion
article111111131,22,Trump's threats to politely walk out of the meeting if his expectations were unmet did not materialize.,2754,2857,1,"Loaded Language, Fear Appeal"
article111111131,29,"Minutes before the historic handshake, Trump tweeted that his top economic adviser Larry Kudlow had suffered a heart attack.",3418,3542,1,Fear Appeal
article111111131,40,"Trump's move to meet him attracted fierce criticism for normalizing a regime routinely called out for its human rights abuses, that over years has built an image of fearsome renegade regime, throwing around threats of nuclear war.",4717,4947,1,"Loaded Language, Fear Appeal"
article111111131,46,"The meeting came only months after the two men traded nuclear taunts, ratcheting up tensions and leading to fears of war.",5405,5526,1,Fear Appeal
article111111132,16,"I’ve never known of anyone who has been pressured or felt ostracized,” said the Rev.",2065,2149,1,Exaggeration
article111111132,68,"“It’s good to be God-fearing no matter how you approach it,” said Mohammad Iqbal, head of the Islamic Society of the Appalachian Region.",9001,9137,1,Fear Appeal
article111111133,11,Press relations were not always rosy in pre-Trump days.,2297,2352,1,Exaggeration
article111111133,16,"Revoking Mr. Acosta’s White House badge was the most severe step yet, and it soon became apparent that the move would not pass legal muster: After suing last week, Mr. Acosta was granted the temporary return of his credentials by a federal judge.",2891,3137,1,General Persuasion
article111111134,6,"“I have never met Julian Assange or anyone connected to him,” Manafort said.",1054,1130,1,Exaggeration
article111111134,7,"“I have never been contacted by anyone connected to WikiLeaks, either directly or indirectly.",1131,1224,1,"Exaggeration, Black-and-White Thinking"
article111111134,8,"I have never reached out to Assange or WikiLeaks on any matter.”

Assange’s Ecuadorean lawyer, Carlos Poveda, said the Guardian report was false.",1225,1370,1,Exaggeration
article111111134,9,And WikiLeaks said on Twitter that it was “willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange.” It later tweeted that Assange had instructed his lawyers to sue the Guardian for libel.,1372,1604,1,Exaggeration
article111111135,18,"It was not widely recognized as an anti-Jewish organization during its early years (its early literature, though, focused on “the white man” as “the white devil”).",2858,3021,1,"Loaded Language, Name Calling"
article111111135,32,"“In that most difficult period of my life, it was the women of the Nation of Islam who supported me and I have always held them close to my heart for that reason,” she said.",5079,5252,1,Exaggeration
article111111137,4,"Expelled former student Nikolas Cruz, 19, has been charged in the attack.",519,592,1,Fear Appeal
article111111137,6,"He is suspected of using a legally bought AR-15 semi-automatic rifle to carry out the 10-minute attack, gunning down teachers and students.",766,905,1,Fear Appeal
article694327499,59,"Will this sop buy Burke’s silence, staving off the feared public correction?",11248,11324,1,Fear Appeal
article694327499,61,"But this move demonstrates—if more evidence were needed—that Bergoglio has never been the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants.",11384,11662,1,Exaggeration
article694356862,0,"Israel Takes On the Shia Crescent

Despite Israel's repeated warnings, Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat in the Middle East region as well as a threat to international peace and security.",0,254,1,"Loaded Language, Fear Appeal"
article694356862,22,"As long as nobody else is addressing the concern Iran’s growing control raises in a satisfactory manner, “Israel is determined to continue addressing it on its own.”
At least, Israel has a more sympathetic ear in the Trump administration than it did in the Obama administration for raising its concerns about Iran’s growing threat, not only to Israel but to U.S. interests in the region and beyond.",4112,4510,1,"Loaded Language, Fear Appeal"
article694811415,3,"“He never even told me that he owned a gun,” continued the shooter’s neighbor, adding that Paddock did not express any religious or political opinions during their conversations.",674,852,1,Exaggeration
article694811415,5,"The caller mentioned how some people in the crowd were warned 45 minutes before the shooting that they were going to die, suggesting that this was evidence of a wider plot and not a “lone wolf” attack.",1114,1315,1,Fear Appeal
article694811415,8,"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",1560,1829,1,Fear Appeal
article695108099,10,"pic.twitter.com/WivxGRqB6W — Laura Loomer (@LauraLoomer) October 4, 2017
Authorities must surely now be on the hunt for whoever Paddock dined with in order to ascertain whether this individual was involved in the plot and whether or not it was the same woman who reportedly told concert-goers they were “going to die” 45 minutes before the shooting took place.",1478,1838,1,General Persuasion
article695833178,8,"pic.twitter.com/sotjwX3o0i — Laura Loomer (@LauraLoomer) October 6, 2017
Shockingly, another Tweet by Loomer also revealed that the license plate numbers given out by police after the horrific shooting DO NOT match the actual license plate of Paddock’s vehicle.",1330,1591,1,Loaded Language
article696264594,0,"The American Jewish Historical Society Hosts Destroy Israel Event

Daniel Greenfield, a Shillman Journalism Fellow at the Freedom Center, is an investigative journalist and writer focusing on the radical left and Islamic terrorism.",0,231,1,"Loaded Language, Fear Appeal"
article696264594,3,The fruits of the AJHS and JVP partnership have been a series of events attacking Israel.,522,611,1,Fear Appeal
article696264594,10,"An organization that hands out the Emma Lazarus Award, named after a passionate Zionist, at its posh dinners is hosting attacks on the existence of Israel.",2030,2185,1,Fear Appeal
article696264594,51,A great deal of shocking behavior is taking place inside Jewish organizations whose inner workings most people in the Jewish community generally pay very little attention to.,5747,5921,1,Loaded Language
article696264594,67,"When the American Jewish Historical Society hosts and co-sponsors an event by a BDS hate group attacking the existence of Israel and featuring a speaker who had defended terrorism and anti-Semitism, the choice becomes easy.",7113,7336,1,Fear Appeal
article696264594,68,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.",7337,7434,1,"Loaded Language, Fear Appeal, Black-and-White Thinking"
article696264594,79,"There are lessons here for the Center for Jewish History and the American Jewish Historical Society, for those on the inside who see the corruption of their organizations every day and for those on the outside who are worried about speaking up.",8191,8435,1,"Loaded Language, Name Calling"
article696694316,0,"Tea With the Curate: The Attack on Marriage is an Attack on Christ in the Eucharist

Pope Paul VI’s 1965 encyclical on the Eucharist, “Mysterium Fidei,” was the first place I saw anyone say that the body and blood, soul and complete divinity of Christ was actually present in the consecrated species.",0,300,1,Fear Appeal
article696694316,1,"Having been raised in Remi de Roo’s Victoria in the 1970s, I had naturally never heard anything at all about the Eucharist.",301,424,1,Exaggeration
article696694316,5,"Published just three months before the close of Vatican II and just as Annibale Bugnini was cranking open the floodgates of his never-ending stream of liturgical alterations, Mysterium Fidei is now an important marker of a critical turning point in Catholic history, perhaps the most important of modern times.",708,1018,1,Exaggeration
article696694316,14,I remember my thoughts upon reading this shocking statement… “By doing what?,3080,3156,1,Loaded Language
article696694316,34,"But even so, Mysterium Fidei forced me to face up to a reality I’d never dreamed of before; that this, the little unassuming wafer, was the most important thing in the world.",6021,6195,1,Exaggeration
article696694316,38,"Who, reading this passage, does not feel the urge to shout down the years, to do something to stave off the disaster that was coming:
[W]e are aware of the fact that, among those who deal with this Most Holy Mystery in written or spoken word, there are some who with reference either to Masses which are celebrated in private, or to the dogma of transubstantiation, or to devotion to the Eucharist, spread abroad opinions which disturb the faithful and fill their minds with no little confusion about matters of faith.",7100,7618,1,"Loaded Language, Black-and-White Thinking"
article696694316,43,"[1]
Those of us writing similar jeremiads now have been working to clarify that the attack from Rome on the moral doctrine of the Church isn’t about marriage.",9150,9308,1,Fear Appeal
article696694316,48,This knowledge – that the attack is on the Body and Blood of Christ – can also help readers spot their friends in the crowd.,9822,9946,1,Fear Appeal
article696694316,77,And then did nothing but weep as the inevitable disaster unfolded.,14166,14232,1,Loaded Language
article696735702,3,"Originally, as highlighted by The Daily Sheeple, the security guard was hailed as being responsible for preventing the shooter from continuing his massacre because he interrupted him in the middle of the attack.",743,954,1,Fear Appeal
article696735702,8,"Paddock shot the guard at 9:59 p.m. local time, Lombardo said, shortly before raining down bullets on the Route 91 Harvest festival in an attack that began at 10:05 p.m. and lasted 10 minutes.",1616,1808,1,Fear Appeal
article696735702,21,"(@New_England_) October 10, 2017
While we may never know the exact circumstances surrounding what transpired in the shooter’s hotel room, the information being released not just by law enforcement, but witnesses to the event who recorded hundreds of cumulative hours of video and audio, now calls the entirety official story into question.",3552,3891,1,Exaggeration
article697063039,5,"pic.twitter.com/5WnCA8mrhf — Jennifer Bendery (@jbendery) October 11, 2017
The island’s electrical grid was all but completely destroyed during Hurricane Maria, and many are still struggling without the most basic of necessities.",653,882,1,"Loaded Language, Fear Appeal, Exaggeration"
article697063039,7,"“Puerto Rico has experienced a natural disaster of a magnitude not seen in over a century, and we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis,” Rosselló wrote.",1131,1364,1,"Loaded Language, Fear Appeal"
article697444415,0,"Las Vegas Shooting Victim: “There Was 100% More Than One Shooter,” Gates To Concert Were Locked Shortly Before Attack

Las Vegas mass shooting victim Rocky Palermo was shot in the pelvis during the horrific attack and is now speaking out about what he saw and believes happened, including the presence of multiple shooters as well as locked concert gates and police telling frantic civilians to go in the other direction.",0,421,1,Fear Appeal
article697444415,1,"Palermo, who has done various interviews since the attack, appeared on “The Blast” with a series of shocking comments that correlate with various other reports indicating that multiple shooters carried out the attack and that the FBI is actively covering this up.",422,685,1,"Loaded Language, Fear Appeal"
article697444415,9,"Shockingly, he then goes on to detail the fact that at the end of the concert the previous two nights everyone had exited a specific way but on the night of the shooting this route was locked down shortly before the attack.",1723,1946,1,"Loaded Language, Fear Appeal, Exaggeration"
article697444415,15,"There were people that went over there and tried to leave and there were cops that were telling them no, you can’t go out here, you have to go the other way,” he shockingly concluded.",2594,2777,1,Loaded Language
article697454736,33,"Such a couple could always be absolved and receive Holy Communion under the Church’s constant practice, albeit privately to avoid scandal.",5618,5756,1,Exaggeration
article697454736,42,"Chris Ferrara to Robert Fastiggi • 16 minutes ago

Tell that to the four cardinals, the 800,000 faithful, the 45 theologians and the 61 other original signers of the correctio, all of whom you insult with your superficial and I must say entirely sophistical attempt to explain away what Francis is clearly doing.",7447,7759,1,General Persuasion
article697472447,7,"But now, questions have been raised after Clark County Sheriff Joe Lombardo revised the timeline and said Campos had actually been shot about 9:59 p.m. a (full six minutes before the mass shooting began at 10:05 p.m.) which means the guard could have instead led Paddock to start opening fire on the crowd for fear of being caught.",1066,1397,1,Fear Appeal
article697472447,8,"Police have said it was difficult to identify the source of the bullets during the attack, and the confusion added more minutes to their lengthy response.",1398,1552,1,Fear Appeal
article697472447,18,"Las Vegas Metro Police Undersheriff Kevin McMahill explained more about Campos’s actions the night of the shooting, helping fill in some of what happened ahead of the attack, but unfortunately, it only added more questions and gave little in the way of answers.",2573,2834,1,Fear Appeal
article697959084,2,Jeff begins the interview by making clear his belief that there were multiple active shooters targeting different places in Las Vegas on the night of the attack.,743,904,1,Fear Appeal
article697959084,13,Slowly but surely we are starting to see the official narrative regarding the Las Vegas Massacre be completely destroyed.,2647,2768,1,"Loaded Language, Fear Appeal, Exaggeration"
article697996062,1,"The distinction between the illegal aliens who benefited from Obama's illegal amnesty and other illegals has always been a matter of rhetoric, not substance.",126,283,1,Exaggeration
article698018235,29,"""it’s not that BDS is “censoring” work — it’s that BDS is resisting a propaganda campaign that was intentionally crafted to influence international politics,"" Dan Fishback claimed when advocating a boycott of some Israeli plays.",3002,3230,1,General Persuasion
article698018235,31,It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people.,3283,3381,1,Fear Appeal
article698092698,4,"A well-coordinated, meticulously planned attack on concertgoers leads to the murder of 58 Americans at a country music festival in Las Vegas, with over 500 injured, and they have no explanation or motive.",372,576,1,Fear Appeal
article698092698,17,"That raised a number of question, including why no one called 911 after what must have been a loud volley of shots in a hotel hallway.",1997,2131,1,Exaggeration
article698503276,17,"Iran has tested several ballistic missiles during the last two years, including two Qadr H missiles with the phrase “Israel must be wiped out” emblazoned on the sides.",2990,3157,1,General Persuasion
article698503276,26,"“We never sought in this negotiation the capacity for so-called anytime, anywhere,” Rhodes said on July 14, 2015.",4716,4829,1,Exaggeration
article698503276,39,"Kerry claimed on September 2, 2015 that the JCPOA “never sunsets.",6489,6554,1,Exaggeration
article698503276,47,It is precisely because North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran.,7908,8165,1,"Loaded Language, Fear Appeal"
article698503276,48,America’s European allies are also upset with President Trump for refusing to recertify the deal and threatening to pull out if certain conditions are not met.,8166,8325,1,"Loaded Language, Fear Appeal"
article698503276,52,"Appeasement through phony deals with a rogue dictatorship does not work, as proven by the infamous Munich Pact signed by British and French Prime Ministers Neville Chamberlain and Edouard Daladier with German Chancellor Adolf Hitler seventy-nine years ago.",9024,9280,1,"Loaded Language, Name Calling"
article698719689,14,"According to CNN, the cases were reported by both the World Health Organization (WHO) and the National Bureau for Risk and Disaster Management (BNGRC) in Madagascar.",1613,1778,1,"Loaded Language, Fear Appeal, Appeal to Authority"
article698780559,10,"David Hickey, a spokesman for the Security, Police, and Fire Professionals of America (SPFPA), Campos’s union, said he got a text that Campos had been taken to an urgent care facility, UMC Quick Care.",1561,1761,1,General Persuasion
article699142854,8,"Starting with the US embassy seizure and hostage crisis, Trump described Iran’s crimes and acts of war against America in greater detail than any of his predecessors ever did.",984,1159,1,"Loaded Language, Fear Appeal"
article699142854,13,"Before Trump discussed Iran’s breaches of the nuclear deal, he first demonstrated that contrary to the expressed views of his top advisers, it is impossible to limit a realistic discussion of the threat Iran constitutes to US national security and interests to whether or not and it what manner it is breaching the nuclear accord.",1989,2319,1,"Loaded Language, Fear Appeal"
article699142854,26,"Obama would have never been able to implement his nuclear deal if Senator Bob Corker, chairman of the Senate Foreign Affairs Committee, hadn’t agreed to cast the Constitution aside and ignore Obama’s constitutional duty to present the nuclear deal to the Senate for ratification as a treaty.",4534,4825,1,Exaggeration
article699142854,34,"Then again, by framing the issue of Iran’s threat to America as he did, and by transferring responsibility for reinstating sanctions and passing further sanctions on Iran to Congress, Trump opened up the possibility that Congress will conduct substantive – rather than personal – debates on Iran.",5884,6180,1,"Loaded Language, Fear Appeal"
article699142854,40,An improved deal won’t destroy Iran’s centrifuges.,6922,6972,1,"Loaded Language, Fear Appeal"
article699142854,42,It won’t destroy Iran’s nuclear installations.,7018,7064,1,"Loaded Language, Fear Appeal"
article699142854,44,"So long as the US continues to maintain a policy based on the false view that all that is necessary to destroy the threat of a nuclear armed Iran is a combination of the nuclear deal and economic sanctions, it will continue to ensure that Iran and its nuclear program remain a major threat.",7231,7521,1,"Loaded Language, Fear Appeal"
article699142854,46,To understand what must be done we must return to Trump’s speech and its strategic significance.,7738,7834,1,General Persuasion
article699142854,47,By taking a holistic view of the Iranian threat – grounded in a recognition of the inherent hostility of the regime – Trump opened up the possibility that the US and its allies can develop a holistic policy for confronting and defeating Iran and its proxies.,7836,8094,1,"Loaded Language, Fear Appeal"
article699291100,0,"FBI Informant “Threatened” After Offering Details Linking Clinton Foundation To Russian Bribery Case

This report was originally published by Tyler Durden at Zero Hedge
While the mainstream media has largely ignored it, the scandal surrounding Russian efforts to acquire 20% of America’s uranium reserves, a deal which was ultimately approved by the Obama administration, and more specifically the Committee on Foreign Investment in the United States (CFIUS) which included Hillary Clinton and Eric Holder, is becoming more problematic for Democrats by the hour.",0,562,1,"Loaded Language, Fear Appeal"
article699291100,12,"Sitting down with The Hill earlier, Toensing said that the last time her client tried to speak out “both his reputation and liberty” were “threatened” by the Obama administration in a effort to force his silence.",3281,3493,1,"Loaded Language, Fear Appeal"
article699291100,13,"“All of the information about this corruption has not come out,” she said in an interview Tuesday.",3494,3592,1,"Loaded Language, Name Calling"
article699291100,15,"What should I do about it?’”
Toensing said she also possesses memos that recount how the Justice Department last year threatened her client when he attempted to file a lawsuit that could have drawn attention to the Russian corruption during the 2016 presidential race as well as helped him recover some of the money Russians stole from him through kickbacks during the FBI probe.",3711,4090,1,"Loaded Language, Fear Appeal, Name Calling"
article699291100,17,"When he tried to bring some of the allegations to light in the lawsuit last year, “the Obama Justice Department threatened him with loss of freedom.",4312,4460,1,"Loaded Language, Fear Appeal"
article699291100,20,"“The government was taking a very harsh position that threatened both your reputation and liberty,” the civil lawyer wrote in one email.",4782,4918,1,"Loaded Language, Fear Appeal"
article699291100,21,"In another, she added, “As you will recall the gov’t made serious threats sufficient to cause you to withdraw your civil complaint.”
As we pointed out last summer when Peter Schweizer first released his feature documentary Clinton Cash, the Uranium One deal at the center of this scandal is believed to have netted the Clintons and their Clinton Foundation millions of dollars in donations and ‘speaking fees’ from Uranium One shareholders and other Russian entities.",4919,5386,1,"Loaded Language, Fear Appeal"
article699478811,8,"Thus, it is threatening U.S. forces and bases in the region.",2060,2120,1,"Loaded Language, Fear Appeal"
article699478811,12,"This will not only serve to bolster the Assad regime, but it also will strengthen Iran's ability to follow through on its threats to the U.S. and its allies, principally Israel.",2886,3063,1,"Loaded Language, Fear Appeal"
article699478811,21,“That’s because nearly every threat to peace and security in the Middle East is connected to Iran’s outlaw behavior.,4394,4510,1,"Loaded Language, Fear Appeal"
article699478811,24,Judging Iran by the narrow confines of the nuclear deal misses the true nature of the threat.,4707,4800,1,"Loaded Language, Fear Appeal"
article699478811,25,"Iran must be judged in totality of its aggressive, destabilizing, and unlawful behavior.",4801,4889,1,General Persuasion
article699478811,29,"This must stop.”
Ambassador Haley proceeded to list various violations by the Iranian regime of Security Council resolutions pertaining to the transfer of conventional weapons from Iran and the arming of terrorist groups, including the Houthi rebels in Yemen and Hezbollah.",5201,5474,1,General Persuasion
article699478811,30,She also pointed to what she called the Iranian regime’s “most threatening act” – its launch of ballistic missiles capable of carrying nuclear weapons.,5475,5626,1,"Loaded Language, Fear Appeal"
article699478811,43,Proponents of the JCPOA argue that exiting the nuclear deal unless it is changed to the Trump administration’s satisfaction would undermine U.S. credibility with North Korea and thereby kill any chance of negotiations to resolve the crisis caused by North Korea's continued testing of sophisticated nuclear arms and ballistic missiles.,7694,8029,1,"Loaded Language, Fear Appeal"
article700387229,4,"Hundreds of cases are reported on the tropical island every year, but experts are warning the epidemic is “much more dangerous” than in previous years.",656,807,1,"Loaded Language, Fear Appeal"
article700387229,12,"While cases of bubonic plague occur in Madagascar nearly every year, the much more dangerous and deadly pneumonic plague has never been so prevalent.",1657,1806,1,"Loaded Language, Fear Appeal, Exaggeration"
article700387229,14,Pneumonic plague is the most life-threatening form of the infection caused by the manifestation of a Yersinia pestis bacterial infection.,1952,2089,1,"Loaded Language, Fear Appeal"
